Unidade de postagem;Nota fiscal;Valor frete
00423891 AGF AVENIDA VITORIA;10761;210,09
00423891 AGF AVENIDA VITORIA;10763;128,69
00423891 AGF AVENIDA VITORIA;10788;279,31
00423891 AGF AVENIDA VITORIA;10792;105,11
00423891 AGF AVENIDA VITORIA;10793;39,37
00423891 AGF AVENIDA VITORIA;10812;0
00423891 AGF AVENIDA VITORIA;10815;49,43
00423891 AGF AVENIDA VITORIA;10836;0
00423891 AGF AVENIDA VITORIA;10844;125,83
00423891 AGF AVENIDA VITORIA;10854;102,89
00423891 AGF AVENIDA VITORIA;10855;188,13
00423891 AGF AVENIDA VITORIA;10861;71,58
00423891 AGF AVENIDA VITORIA;10868;0
00423891 AGF AVENIDA VITORIA;10880;138,71
00423891 AGF AVENIDA VITORIA;10882;0
00423891 AGF AVENIDA VITORIA;10892;164,09
00423891 AGF AVENIDA VITORIA;10895;115,82
00423891 AGF AVENIDA VITORIA;10915;576,09
00423891 AGF AVENIDA VITORIA;10921;800
00423891 AGF AVENIDA VITORIA;10924;0
00423891 AGF AVENIDA VITORIA;10927;0
00423891 AGF AVENIDA VITORIA;10928;219,46
00423891 AGF AVENIDA VITORIA;10929;0
00423891 AGF AVENIDA VITORIA;10930;360,88
00423891 AGF AVENIDA VITORIA;10931;138,51
00423891 AGF AVENIDA VITORIA;10956;139,36
00423891 AGF AVENIDA VITORIA;10959;53,29
00423891 AGF AVENIDA VITORIA;10967;108,73
00423891 AGF AVENIDA VITORIA;10984;0
00423891 AGF AVENIDA VITORIA;10989;0
00423891 AGF AVENIDA VITORIA;10990;262,9
00423891 AGF AVENIDA VITORIA;10991;103,05
00423891 AGF AVENIDA VITORIA;10997;0
00423891 AGF AVENIDA VITORIA;10998;0
00423891 AGF AVENIDA VITORIA;10999;204
00423891 AGF AVENIDA VITORIA;11001;88,87
00423891 AGF AVENIDA VITORIA;11002;61,07
00423891 AGF AVENIDA VITORIA;11006;120,28
00423891 AGF AVENIDA VITORIA;11010;100,45
00423891 AGF AVENIDA VITORIA;11012;106,83
