SFE - SISTEMA DE FATURA ELETRONICA - Extrato Analitico de Fatura; 
 
CNPJ;Data;Hora;Razao Social;Contrato;DR;AN8 (ERP);Centro de Custos;Numero da Fatura;Status da Fatura;Data de Vencimento;
08674593000183;26/06/2023;10:07;DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;9912351634;SE/RJ;3756351;DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;668065;Em Aberto;05/07/2023;
 
DETALHAMENTO DA FATURA
Titular do Cartao;Cartao de Postagem;Data da Postagem;Codigo do Servico;Servicos Adicionais;CEP Destinatario;Unidade da Postagem;Peso (gramas);Quantidade;Numero da Etiqueta;Documento;Valor Unitario (R$);Valor do Servico (R$);Desconto (R$);Valor Liquido (R$);Valor Declarado (R$);
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;24/05/2023;03220;;27261;00423955 AGF BAIRRO VILA RUBIM;1085;1;TE474811625BR;0474811625;R$ 48,02;R$ 48,02;R$ 0,00;R$ 48,02;R$ 200,38;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;24/05/2023;03220;;68515;00423955 AGF BAIRRO VILA RUBIM;1080;1;TE474811639BR;0474811639;R$ 97,87;R$ 97,87;R$ 0,00;R$ 97,87;R$ 200,38;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;24/05/2023;03220;;66635;00423955 AGF BAIRRO VILA RUBIM;1120;1;TE474811642BR;0474811642;R$ 74,19;R$ 74,19;R$ 0,00;R$ 74,19;R$ 200,38;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;24/05/2023;03220;;65075;00423955 AGF BAIRRO VILA RUBIM;9775;1;TE474811656BR;0474811656;R$ 232,45;R$ 232,45;R$ 0,00;R$ 232,45;R$ 5.029,54;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;24/05/2023;03220;;69053;00423955 AGF BAIRRO VILA RUBIM;7933;1;TE474811660BR;0474811660;R$ 159,22;R$ 159,22;R$ 0,00;R$ 159,22;R$ 416,95;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;24/05/2023;03220;;57030;00423955 AGF BAIRRO VILA RUBIM;23740;1;TE474811673BR;0474811673;R$ 455,36;R$ 455,36;R$ 0,00;R$ 455,36;R$ 4.340,59;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;24/05/2023;03220;;65075;00423955 AGF BAIRRO VILA RUBIM;515;1;TE474811687BR;0474811687;R$ 61,06;R$ 61,06;R$ 0,00;R$ 61,06;R$ 123,36;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;24/05/2023;03220;;57030;00423955 AGF BAIRRO VILA RUBIM;1945;1;TE474811695BR;0474811695;R$ 105,25;R$ 105,25;R$ 0,00;R$ 105,25;R$ 4.340,59;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;25/05/2023;03220;;66055;00423891 AGF AVENIDA VITORIA;1090;1;TE474811700BR;0474811700;R$ 74,19;R$ 74,19;R$ 0,00;R$ 74,19;R$ 200,38;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;26/05/2023;03220;;35160;00423891 AGF AVENIDA VITORIA;1220;1;TE474811713BR;0474811713;R$ 47,88;R$ 47,88;R$ 0,00;R$ 47,88;R$ 186,46;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;26/05/2023;03220;;68508;00423891 AGF AVENIDA VITORIA;7933;1;TE474811727BR;0474811727;R$ 210,09;R$ 210,09;R$ 0,00;R$ 210,09;R$ 1.077,46;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;26/05/2023;03220;;58038;00423891 AGF AVENIDA VITORIA;8020;1;TE474811735BR;0474811735;R$ 197,49;R$ 197,49;R$ 0,00;R$ 197,49;R$ 2.890,85;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;26/05/2023;03220;;75860;00423891 AGF AVENIDA VITORIA;2120;1;TE474811744BR;0474811744;R$ 135,73;R$ 135,73;R$ 0,00;R$ 135,73;R$ 1.455,66;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;26/05/2023;03220;;68508;00423891 AGF AVENIDA VITORIA;2650;1;TE474811758BR;0474811758;R$ 128,69;R$ 128,69;R$ 0,00;R$ 128,69;R$ 751,90;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;26/05/2023;03220;;86160;00423891 AGF AVENIDA VITORIA;5860;1;TE474811761BR;0474811761;R$ 118,80;R$ 118,80;R$ 0,00;R$ 118,80;R$ 2.717,02;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;26/05/2023;03220;;45820;00423891 AGF AVENIDA VITORIA;15360;1;TE474811775BR;0474811775;R$ 299,97;R$ 299,97;R$ 0,00;R$ 299,97;R$ 3.991,92;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;26/05/2023;03220;;69306;00423891 AGF AVENIDA VITORIA;15360;1;TE474811789BR;0474811789;R$ 333,29;R$ 333,29;R$ 0,00;R$ 333,29;R$ 1.547,26;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;26/05/2023;03220;;29460;00423891 AGF AVENIDA VITORIA;15360;1;TE474811792BR;0474811792;R$ 150,89;R$ 150,89;R$ 0,00;R$ 150,89;R$ 7.845,49;
DISTRIPRIME DISTRIBUIDORA DE COSMETICOS;69241767;26/05/2023;03220;;30130;00423891 AGF AVENIDA VITORIA;1495;1;TE474811801BR;0474811801;R$ 37,29;R$ 37,29;R$ 0,00;R$ 37,29;R$ 305,47;
