Unidade de postagem;Nota fiscal;Valor frete
00423891 AGF AVENIDA VITORIA;114484;0
00423891 AGF AVENIDA VITORIA;114485;0
00423891 AGF AVENIDA VITORIA;114488;0
00423891 AGF AVENIDA VITORIA;114489;0
00423891 AGF AVENIDA VITORIA;114490;0
00423891 AGF AVENIDA VITORIA;114491;0
00423891 AGF AVENIDA VITORIA;114492;0
00423891 AGF AVENIDA VITORIA;114494;0
00235037 AGF PEDRO II;105199;0
00423891 AGF AVENIDA VITORIA;114528;22,7
00423891 AGF AVENIDA VITORIA;114541;15,99
00423891 AGF AVENIDA VITORIA;114579;21,48
00423891 AGF AVENIDA VITORIA;114593;17,89
00423891 AGF AVENIDA VITORIA;114607;15,99
00423891 AGF AVENIDA VITORIA;114644;22,7
00423891 AGF AVENIDA VITORIA;114693;18,42
00423891 AGF AVENIDA VITORIA;114495;0
00235037 AGF PEDRO II;105203;0
00423891 AGF AVENIDA VITORIA;114496;0
00423891 AGF AVENIDA VITORIA;114497;0
00423891 AGF AVENIDA VITORIA;114499;0
00423891 AGF AVENIDA VITORIA;114500;0
00423891 AGF AVENIDA VITORIA;114505;0
00423891 AGF AVENIDA VITORIA;114506;0
00423891 AGF AVENIDA VITORIA;114507;0
00423891 AGF AVENIDA VITORIA;114615;9,68
00423891 AGF AVENIDA VITORIA;114616;0
00423891 AGF AVENIDA VITORIA;114619;26,39
00423891 AGF AVENIDA VITORIA;114638;0
00423891 AGF AVENIDA VITORIA;114663;0
00423891 AGF AVENIDA VITORIA;114664;0
00423891 AGF AVENIDA VITORIA;114665;0
00423891 AGF AVENIDA VITORIA;114666;26,39
00235037 AGF PEDRO II;105217;0
00423891 AGF AVENIDA VITORIA;114679;26,39
00423891 AGF AVENIDA VITORIA;114683;0
00423891 AGF AVENIDA VITORIA;114716;26,85
00423891 AGF AVENIDA VITORIA;114799;21,42
00423891 AGF AVENIDA VITORIA;114711;26,39
00423891 AGF AVENIDA VITORIA;114763;0
00423891 AGF AVENIDA VITORIA;114764;55,42
00235037 AGF PEDRO II;105254;15,28
00423891 AGF AVENIDA VITORIA;114798;0
00423891 AGF AVENIDA VITORIA;114894;19,18
00423891 AGF AVENIDA VITORIA;114816;21,42
00423891 AGF AVENIDA VITORIA;114880;44,87
00423891 AGF AVENIDA VITORIA;114882;0
00423891 AGF AVENIDA VITORIA;114904;0
00423891 AGF AVENIDA VITORIA;114809;19,31
00235037 AGF PEDRO II;105294;0
00235037 AGF PEDRO II;105295;0
00423891 AGF AVENIDA VITORIA;114822;0
00423891 AGF AVENIDA VITORIA;114829;55,42
00423891 AGF AVENIDA VITORIA;114832;0
00423891 AGF AVENIDA VITORIA;114834;0
00423891 AGF AVENIDA VITORIA;114943;25,92
00423891 AGF AVENIDA VITORIA;115000;17,89
00423891 AGF AVENIDA VITORIA;115029;26,39
00423891 AGF AVENIDA VITORIA;114931;0
00423891 AGF AVENIDA VITORIA;114937;73,95
00235037 AGF PEDRO II;105319;0
00235037 AGF PEDRO II;105323;0
00235037 AGF PEDRO II;105324;0
00423891 AGF AVENIDA VITORIA;114966;0
00423891 AGF AVENIDA VITORIA;114980;9,68
00423891 AGF AVENIDA VITORIA;114981;0
00235037 AGF PEDRO II;105333;0
00235037 AGF PEDRO II;105334;0
00423891 AGF AVENIDA VITORIA;114994;0
00423891 AGF AVENIDA VITORIA;115050;17,89
00423891 AGF AVENIDA VITORIA;115053;25,92
00235037 AGF PEDRO II;105364;0
00423891 AGF AVENIDA VITORIA;115042;0
00423891 AGF AVENIDA VITORIA;115043;0
00423891 AGF AVENIDA VITORIA;115044;0
00423891 AGF AVENIDA VITORIA;115046;0
00423891 AGF AVENIDA VITORIA;115193;15,99
00423891 AGF AVENIDA VITORIA;115197;15,83
00423891 AGF AVENIDA VITORIA;115199;26,85
00235037 AGF PEDRO II;105406;11,48
00423891 AGF AVENIDA VITORIA;115195;0
00423891 AGF AVENIDA VITORIA;115198;0
00423891 AGF AVENIDA VITORIA;115200;0
00423891 AGF AVENIDA VITORIA;115201;26,39
00423891 AGF AVENIDA VITORIA;115223;9,68
00423891 AGF AVENIDA VITORIA;115105;27,5
00423891 AGF AVENIDA VITORIA;115149;0
00423891 AGF AVENIDA VITORIA;115150;0
00423891 AGF AVENIDA VITORIA;115151;0
00423891 AGF AVENIDA VITORIA;115153;0
00423891 AGF AVENIDA VITORIA;115154;0
00423891 AGF AVENIDA VITORIA;115158;26,39
00423891 AGF AVENIDA VITORIA;115162;0
00423891 AGF AVENIDA VITORIA;115442;21,42
00423891 AGF AVENIDA VITORIA;115380;17,89
00423891 AGF AVENIDA VITORIA;115332;0
00423891 AGF AVENIDA VITORIA;115333;0
00423891 AGF AVENIDA VITORIA;115340;28,61
00423891 AGF AVENIDA VITORIA;115353;0
00423891 AGF AVENIDA VITORIA;115364;0
00235037 AGF PEDRO II;105462;0
00423891 AGF AVENIDA VITORIA;115389;9,68
00423891 AGF AVENIDA VITORIA;115437;9,68
00423891 AGF AVENIDA VITORIA;115451;0
00423891 AGF AVENIDA VITORIA;115452;0
00423891 AGF AVENIDA VITORIA;115526;21,42
00235037 AGF PEDRO II;105486;0
00235037 AGF PEDRO II;105488;0
00235037 AGF PEDRO II;105490;0
00423891 AGF AVENIDA VITORIA;115533;0
00423891 AGF AVENIDA VITORIA;115539;0
00423891 AGF AVENIDA VITORIA;115550;0
00423891 AGF AVENIDA VITORIA;115551;0
00235037 AGF PEDRO II;105493;0
00235037 AGF PEDRO II;105506;0
00235037 AGF PEDRO II;105514;0
00423891 AGF AVENIDA VITORIA;115480;26,39
00423891 AGF AVENIDA VITORIA;115557;0
00235037 AGF PEDRO II;105531;0
00235037 AGF PEDRO II;105532;0
00235037 AGF PEDRO II;105534;0
00423891 AGF AVENIDA VITORIA;115581;0
00423891 AGF AVENIDA VITORIA;115582;0
00423891 AGF AVENIDA VITORIA;115584;26,39
00423891 AGF AVENIDA VITORIA;115585;18,16
00235037 AGF PEDRO II;105538;13,31
00235037 AGF PEDRO II;105547;16,85
00235037 AGF PEDRO II;105548;0
00423891 AGF AVENIDA VITORIA;115590;0
00423891 AGF AVENIDA VITORIA;115594;19,31
00423891 AGF AVENIDA VITORIA;115629;15,99
00423891 AGF AVENIDA VITORIA;115645;15,99
00235037 AGF PEDRO II;105609;18,7
00423891 AGF AVENIDA VITORIA;115618;0
00235037 AGF PEDRO II;105578;0
00235037 AGF PEDRO II;105588;22,36
00235037 AGF PEDRO II;105590;0
00235037 AGF PEDRO II;105725;17,89
00235037 AGF PEDRO II;105637;0
00235037 AGF PEDRO II;105638;0
00235037 AGF PEDRO II;105639;0
00235037 AGF PEDRO II;105653;55,42
00235037 AGF PEDRO II;105664;26,39
00235037 AGF PEDRO II;105689;0
00423891 AGF AVENIDA VITORIA;115704;0
00423891 AGF AVENIDA VITORIA;115705;0
00423891 AGF AVENIDA VITORIA;115795;25,92
00423891 AGF AVENIDA VITORIA;115834;25,92
00423891 AGF AVENIDA VITORIA;115878;26,39
00423891 AGF AVENIDA VITORIA;115772;0
00423891 AGF AVENIDA VITORIA;115749;9,68
00423891 AGF AVENIDA VITORIA;115805;27,5
00423891 AGF AVENIDA VITORIA;115816;28,61
00235037 AGF PEDRO II;105763;0
00423891 AGF AVENIDA VITORIA;115926;26,85
00423891 AGF AVENIDA VITORIA;115945;26,85
00423891 AGF AVENIDA VITORIA;115979;0
00423891 AGF AVENIDA VITORIA;115981;0
00423891 AGF AVENIDA VITORIA;115985;0
00423891 AGF AVENIDA VITORIA;116000;0
00423891 AGF AVENIDA VITORIA;115929;0
00235037 AGF PEDRO II;105788;0
00235037 AGF PEDRO II;105789;20,66
00235037 AGF PEDRO II;105791;14,93
00235037 AGF PEDRO II;105793;13,03
00235037 AGF PEDRO II;105794;0
00423891 AGF AVENIDA VITORIA;116050;21,48
00423891 AGF AVENIDA VITORIA;116023;9,68
00423891 AGF AVENIDA VITORIA;116099;18,42
